Key,English,Japanese
TRANS_GEN_Othello_04_0,"""Wild hogs can root up your garden if you're not careful.""","""注意しないと、野生の豚が庭に根を張る可能性があります。"""
TRANS_GEN_Samira_00_0,"""Running track is fun until you're face-deep in the turf.""","""ランニングトラックは、顔が芝生に深く沈むまでは楽しいものです。"""
TRANS_GEN_Samira_01_0,"""I think people who do track and field are beautiful people.""","""陸上競技をやっている人は美しい人だと思います。"""
TRANS_GEN_Samira_02_0,"""You can always go that extra mile.""","""いつでもさらに一歩前進することができます。"""
TRANS_GEN_Samira_03_0,"""Sprint for the hills like the devil's chasing you.""","""悪魔があなたを追いかけるように、丘に向かって全力疾走してください。"""
TRANS_GEN_Samira_04_0,"""You should stretch once a day.""","""1日1回はストレッチをしたほうがいいよ。"""
TRANS_GEN_Miranda_00_0,"""Sea air smells like soy sauce.""","""いつか醤油の匂いがする海辺に引っ越すつもりです。"""
TRANS_GEN_Miranda_01_0,"""Nothing like the feel of sand against your toes.""","""つま先に砂が当たる感触ほど素晴らしいものはありません。"""
TRANS_GEN_Miranda_02_0,"""Seawater is an essential liquid.""","""海水は欠かせない液体です。"""
TRANS_GEN_Miranda_03_0,"""The beach is so relaxing...""","""ビーチはとてもリラックスできます..."""
TRANS_GEN_Miranda_04_0,"""Saltwater could be the innovation in de-aging technology...""","""塩水は老化防止技術の革新となる可能性があります..."""
TRANS_GEN_Tomiko_00_0,"""I love when the birds come to watch me work!""","""鳥が私の仕事を見に来るのが大好きです！"""
TRANS_GEN_Tomiko_01_0,"""If a cardinal smells you once, you are forever blessed.""","""枢機卿があなたの匂いを一度嗅いだら、あなたは永遠に祝福されます。"""
TRANS_GEN_Tomiko_02_0,"""Woodpeckers are such noisy birds.""","""キツツキはとてもうるさい鳥です。"""
TRANS_GEN_Tomiko_03_0,"""Birds are just fluffy spheres filled with song.""","""鳥は歌が詰まったふわふわした球体にすぎません。"""
TRANS_GEN_Tomiko_04_0,"""Imagine flying in formation five hundred feet up in the air...""","""500フィート上空を編隊を組んで飛行するところを想像してみてください..."""
TRANS_GEN_Domingo_00_0,"""Skateboarding comes naturally.""","""スケートボードは自然に身につくものです。"""
TRANS_GEN_Domingo_01_0,"""I can go far on a pair of wheels.""","""一対の車輪で遠くまで行くことができます。"""
TRANS_GEN_Domingo_02_0,"""Wear a helmet if you don't want a concussion.""","""脳震盪を起こしたくないならヘルメットをかぶってください。"""
TRANS_GEN_Domingo_03_0,"""This village could use a skatepark.""","""この村にはスケートパークが使えるかもしれない。"""
TRANS_GEN_Domingo_04_0,"""I can do all the skateboard tricks, just watch!""","""スケートボードのトリックは全部できるから、見てください！"""
TRANS_GEN_Takumi_00_0,"""I wish my body secreted mucus...""","""体から粘液が分泌されればいいのに…"""
TRANS_GEN_Takumi_01_0,"""Snails and slugs... friendly bugs...""","""カタツムリとナメクジ…人懐っこい虫…"""
TRANS_GEN_Takumi_02_0,"""I want to sell slime for a living.""","""スライムを売って暮らしたい。"""
TRANS_GEN_Takumi_03_0,"""I've got a tank of slugs, want to see? ""","""ナメクジの水槽があるんだけど、見たい？"""
TRANS_GEN_Takumi_04_0,"""My hands are slimy.""","""手がぬるぬるしてます。"""
